Tópico,Palavras,Pesos
448,"here, investors, fellow, investing, place, pleasure, right, happy, congratulations, profits","[0.0608, 0.0508, 0.0491, 0.0477, 0.0454, 0.0446, 0.039, 0.0359, 0.0352, 0.0332]"
449,"meiodia, bovespa, giro, fechado, russell2000, spot, eurostoxx50, dax, ftse, spasx","[0.0897, 0.0523, 0.0516, 0.0502, 0.0455, 0.0449, 0.0435, 0.0433, 0.0433, 0.0431]"
450,"valorize, pessimos, valorizado, tolos, meros, nascer, racismo, potencia, discutindo, passam","[0.1135, 0.1095, 0.109, 0.0987, 0.0871, 0.0868, 0.0863, 0.0814, 0.0784, 0.0658]"
451,"tendas, 900, continuacao, 04, inicio, quinta, sexta, 03, lindo, tera","[0.1355, 0.0981, 0.0753, 0.065, 0.0568, 0.0562, 0.0552, 0.0514, 0.0484, 0.0469]"
452,"importacao, impostos, produtos, out20, ipi, iof, dez21, piscofins, set20, nov19","[0.0897, 0.0566, 0.0354, 0.0338, 0.0337, 0.0259, 0.0249, 0.0247, 0.0235, 0.0235]"
453,"rodriguez, rodrigues, managing, tool, groups, professional, welcome, rodrigo, telegram, rodney","[0.1481, 0.1354, 0.0361, 0.0361, 0.036, 0.036, 0.0356, 0.0251, 0.0232, 0.0221]"
454,"100, confiavel, garantidos, obtenha, demora, ganhamos, legitimo, lucros, confiable, converse","[0.0872, 0.0777, 0.0738, 0.0686, 0.0655, 0.0646, 0.0623, 0.0507, 0.0506, 0.0462]"
455,"poliomielite, polio, poliovirus, vacinal, vacinacao, vop, fezes, sabin, virus, queiroga","[0.1188, 0.0371, 0.0326, 0.0261, 0.0254, 0.0214, 0.0209, 0.0208, 0.0186, 0.0174]"
456,"noticia, muita, falando, sobre, , , , , , ","[0.2751, 0.2053, 0.204, 0.0477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
457,"odio, hipocritas, hipocrisia, encho, hipocrita, discurso, afirmo, confunda, grosseirao, apatica","[0.1025, 0.0902, 0.0515, 0.036, 0.0331, 0.0323, 0.0265, 0.0224, 0.0204, 0.0193]"
458,"vive, aproveite, vida, multilaser, vidas, familiareflita, quintana, annamaria, parafraseando, poetisa","[0.075, 0.0692, 0.0512, 0.0456, 0.0268, 0.025, 0.0237, 0.0237, 0.0221, 0.0215]"
459,"batalhao, infantaria, centro, rs, praca, cta, sn, espacial, aereo, duque","[0.02, 0.0189, 0.0158, 0.0143, 0.0138, 0.013, 0.0126, 0.0123, 0.0119, 0.0115]"
460,"ratos, rato, ratoeira, picanhacu, ratazanas, queijo, bingooo, ratoeiras, esgoto, bueiros","[0.1867, 0.046, 0.0351, 0.026, 0.0245, 0.0209, 0.0203, 0.0195, 0.0186, 0.018]"
461,"missao, eleitores, estourar, 01, pereceu, divulgue, comprovaremos, baixem, comprovara, improprias","[0.0198, 0.0186, 0.018, 0.0156, 0.0153, 0.0152, 0.0138, 0.0133, 0.0132, 0.0131]"
462,"pedofilas, pedofilia, aliciamento, bitly3yb06p7, pornografia, curandeiro, adultos, criancas, demoniaco, sexuais","[0.0338, 0.0284, 0.0251, 0.0251, 0.0249, 0.0247, 0.0243, 0.0205, 0.0197, 0.0197]"
463,"sanitario, passaporte, atualize, doses, conectsus, apresente, concurso, faculdade, entram, preocupacao","[0.1317, 0.1066, 0.1032, 0.1023, 0.1016, 0.0984, 0.0914, 0.0813, 0.0781, 0.0751]"
464,"pan, jovem, perez, joven, adaptando, consorcios, predio, sanduiche, publicacao, gloria","[0.1594, 0.1393, 0.0383, 0.0261, 0.0221, 0.0221, 0.0213, 0.0193, 0.019, 0.0172]"
465,"filme, documentario, simbologiaocultismo, engandas, filmedocumentario, hollywood, azazel, benini, 2000hrs, idolatrando","[0.1095, 0.0475, 0.0311, 0.0311, 0.0311, 0.0301, 0.029, 0.028, 0.0253, 0.0246]"
466,"influenciador, embaixo, estara, atento, contamos, 19h, exclusiva, abraco, presenca, comeca","[0.062, 0.0581, 0.0522, 0.0522, 0.0511, 0.0511, 0.0499, 0.0422, 0.0313, 0.0254]"
467,"civil, guerra, chamces, causaria, perdida, instaurar, agr, espero, ruaaae, nadaretroceder","[0.1231, 0.0542, 0.0163, 0.0122, 0.0114, 0.0099, 0.0091, 0.0089, 0.0089, 0.0089]"
468,"terra, terrabrasilnoticias, noticias, flix, jeanine, anez, formaliza, mibow, musa, lulaflixcombr","[0.0393, 0.0374, 0.0363, 0.0271, 0.0183, 0.0171, 0.0168, 0.016, 0.0141, 0.0141]"
469,"censura, censurado, afeta, manifestaremse, abraji, pavinatto, urgentea, canais, abi, comunicacao","[0.0435, 0.0287, 0.028, 0.0267, 0.0267, 0.0258, 0.0258, 0.0257, 0.0251, 0.0249]"
470,"carvalho, carneiro, carina, managing, tool, groups, professional, welcome, carmo, telegram","[0.1726, 0.0485, 0.0385, 0.0367, 0.0366, 0.0366, 0.0366, 0.0362, 0.0311, 0.0236]"
471,"biometria, assinei, assinar, mesaria, assinatura, cadastrada, pediram, fiz, precisava, cadastro","[0.26, 0.0786, 0.0759, 0.0302, 0.0292, 0.0289, 0.0207, 0.0206, 0.0183, 0.0183]"
472,"tmedireitologicoparatodos, lorde, presumo, 2t, bolinha, minalexandre, moraesaspdf, abaixar, ocorrera, visaodextra","[0.4809, 0.0835, 0.0835, 0.0823, 0.0771, 0.0643, 0.0643, 0.0561, 0.0533, 0.0501]"
473,"ivan, prado, rose, epifanio, teixeira, video, camarano, rieger, rafalski, rolim","[0.8028, 0.6118, 0.1468, 0.1064, 0.0768, 0.0658, 0.0337, 0.0337, 0.0337, 0.0273]"
474,"maria, marta, lucia, foto, ana, delaine, mariana, mary, fernanda, sant","[0.1277, 0.126, 0.1179, 0.116, 0.0954, 0.0884, 0.0866, 0.0836, 0.0491, 0.048]"
475,"pergunteme, proceder, sinais, bons, obter, montayo, conecteme, funciona, lucros, comparem","[0.1285, 0.1247, 0.0837, 0.0685, 0.0608, 0.0507, 0.0464, 0.0441, 0.0436, 0.0392]"
476,"psicopata, psicopatas, folhapolitica, esquizofrenico, bipolar, psiquiatra, psiquiatricos, fanatico, doente, apaguem","[0.0945, 0.0527, 0.0321, 0.0299, 0.0224, 0.022, 0.0199, 0.0178, 0.0172, 0.0159]"
477,"olha, olhardigital, olharcurioso, guardado, refletir, olhadinha, pesquisei, olharcidade, aih, gentee","[0.5976, 0.5094, 0.1444, 0.1047, 0.0979, 0.095, 0.0791, 0.0722, 0.0722, 0.0583]"
478,"alla, rashid, video, linkedin, consegui, face, entra, tbm, acho, entao","[1.2615, 1.2228, 0.0645, 0.0162, 0.0081, 0.0077, 0.0063, 0.0052, 0.0038, 0.0017]"
479,"redor, noticia, falando, sobre, estao, todos, , , , ","[0.3874, 0.1834, 0.136, 0.0318, 0.0285, 0.0215, 0.0, 0.0, 0.0, 0.0]"
480,"fabio, fabinho, fabiana, managing, tool, groups, professional, welcome, fabia, fabiano","[0.1478, 0.0493, 0.0414, 0.0377, 0.0377, 0.0376, 0.0376, 0.0372, 0.0318, 0.0308]"
481,"propagam, tomamos, prevenir, distante, disponibilizar, censurando, acompanhe, iniciativa, conteudos, especulando","[0.1096, 0.0965, 0.0965, 0.0954, 0.0932, 0.0879, 0.0658, 0.0595, 0.0592, 0.045]"
482,"ocupados, traders, constantes, cobramos, fornecerlhe, monitorizar, valera, maravilhas, permitirao, trabalhamos","[0.0471, 0.0456, 0.0438, 0.043, 0.0358, 0.0358, 0.0355, 0.0342, 0.028, 0.0239]"
483,"libanes, sirio, acompanhe, internado, avc, hospital, live, zun, libano, jordania","[0.2496, 0.2394, 0.0889, 0.0617, 0.0585, 0.0465, 0.0371, 0.0215, 0.0197, 0.0185]"
484,"ganar, hacerlos, beneficien, maravillosos, felices, servicio, les, cederemos, prometemos, nuestro","[0.2174, 0.2101, 0.1901, 0.1634, 0.1614, 0.1562, 0.153, 0.1525, 0.1502, 0.1439]"
485,"1313, 2022lula, municipio, secao, zona, 13, brotas, ibitita, paramirim, arcado","[0.1906, 0.1751, 0.1107, 0.0743, 0.0625, 0.0252, 0.0228, 0.0228, 0.0228, 0.0228]"
486,"familia, liberdade, patria, cristianismo, 2030, deputado, deus, setembroe, chateaubriand, demaissssdeuspatriafamilia","[0.0342, 0.0323, 0.0303, 0.0172, 0.0148, 0.0127, 0.0124, 0.0121, 0.0121, 0.0121]"
487,"celular, bebiano, bilhetes, pegos, telinha, pcc, ameacas, mantinha, flordelis, namorado","[0.1269, 0.0742, 0.0406, 0.0345, 0.0295, 0.0192, 0.019, 0.018, 0.0168, 0.0165]"
488,"persecutoria, escapa, sanha, canal, medindo, exministro, regua, tendencia, isonomia, canalrural","[0.1721, 0.1587, 0.1357, 0.1172, 0.1035, 0.0921, 0.088, 0.0701, 0.0613, 0.0556]"
489,"shadows, choice, they, what, have, dzearsn, theqwakening17, tyre, eliminate, ln","[0.0572, 0.0565, 0.0471, 0.0413, 0.0396, 0.0389, 0.0389, 0.0389, 0.0389, 0.0389]"
490,"pag, item, 160, reinvestimento, saquei, abertamente, sergio, ndeg, absurdos, compartilhados","[0.0841, 0.0728, 0.0636, 0.043, 0.0415, 0.0293, 0.0253, 0.0252, 0.0238, 0.0183]"
491,"breno, sousagb, foto, benedik, solange, , , , , ","[1.6661, 0.3128, 0.1725, 0.0518, 0.0298, 0.0, 0.0, 0.0, 0.0, 0.0]"
492,"perderia, 2023, hadade, alquimin, 2021, apresentava, diziam, agenda2030, comente, ibope","[0.0604, 0.0512, 0.0437, 0.0415, 0.0291, 0.0291, 0.0224, 0.0223, 0.0215, 0.0211]"
493,"fraude, encaixa, incursoes, disparado, fraudeo, reconheceu, cansarei, crendo, bla, frouxo","[0.0279, 0.0188, 0.0181, 0.0163, 0.015, 0.0149, 0.0142, 0.0129, 0.0124, 0.0117]"
494,"km, interditado, confirmada, br, 163, confirmado, interditada, mt, sc, 470","[0.1108, 0.0857, 0.0756, 0.0675, 0.0601, 0.0594, 0.0547, 0.0474, 0.0459, 0.0428]"
495,"mincha, odysee, financasweb, fraud, censoring, demonstrate, threatened, machines, oracao, electronic","[0.3197, 0.2255, 0.185, 0.1324, 0.1175, 0.1111, 0.1094, 0.097, 0.0953, 0.0909]"
496,"mrstruth, mincha, meditar, isaque, minhah, minkhah, shvh, suwach, originada, 2463","[0.2109, 0.1678, 0.1672, 0.1609, 0.1083, 0.1083, 0.1083, 0.1083, 0.1083, 0.1083]"
497,"316, joao, foto, , , , , , , ","[1.2043, 0.2089, 0.115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
498,"profetas, falsos, profeta, anticristo, cristo, falso, religiao, baphomet, arminha, mercadores","[0.0393, 0.0307, 0.0303, 0.0187, 0.0177, 0.0169, 0.0165, 0.0138, 0.0119, 0.0115]"
499,"obter, investe, invista, 2700, 3btc, roi, lucrar, 4btc, 10000, 5400","[0.0489, 0.042, 0.0331, 0.0284, 0.0271, 0.0259, 0.0256, 0.0235, 0.0224, 0.0222]"
500,"in, request, send, usuario, telegrama, posso, vencimento, salario, depender, online","[0.0887, 0.0805, 0.078, 0.0611, 0.0566, 0.052, 0.0502, 0.049, 0.047, 0.038]"
501,"oliveira, agilize, multirao, propt, baixissima, exerca, patriotico, fiscais, ajudenos, almoco","[0.0598, 0.0564, 0.0537, 0.0528, 0.0506, 0.0477, 0.0461, 0.0447, 0.0438, 0.0422]"
502,"administrador, obrigado, pendentes, transacoes, admin, abencoado, confiando, orientar, adiante, abertos","[0.0757, 0.0424, 0.0415, 0.0355, 0.0338, 0.032, 0.0316, 0.0292, 0.0285, 0.027]"
503,"alkimin, padrinho, molusco, traicao, descobriu, reabre, brasa, cantado, temer, atadas","[0.026, 0.0221, 0.0215, 0.0177, 0.0171, 0.0131, 0.0126, 0.0124, 0.012, 0.012]"
504,"armadas, peguem, vizinhancas, multiroes, abstencaoes, repeteco, afirmar, forcas, urnas, exijam","[0.0173, 0.017, 0.0168, 0.0168, 0.0168, 0.0156, 0.0147, 0.0145, 0.0144, 0.0144]"
505,"arantes, oce, alfredo, guarulhos, sousa, bauru, gabriel, machado, vicente, feedback","[0.0789, 0.0761, 0.0747, 0.062, 0.0614, 0.0576, 0.0536, 0.0509, 0.0343, 0.0329]"
506,"sofrido, irmaos, levar, maximo, compartilhem, direita, verdade, vamos, povo, ouca","[0.3669, 0.1382, 0.1291, 0.0907, 0.0868, 0.0504, 0.0293, 0.0193, 0.0176, 0.0079]"
507,"transfiro, reais, imediato, 2000000, fisico, r50000, satisfeitos, banco, cai, negocio","[0.1409, 0.0987, 0.053, 0.0397, 0.0391, 0.0366, 0.033, 0.0288, 0.0283, 0.0245]"
508,"heteronormatividade, desconstrucao, decreto, 2009, desmentiu, banheiros, masculino, aprovou, trans, bit","[0.182, 0.1684, 0.1565, 0.1504, 0.1469, 0.1346, 0.1248, 0.1191, 0.1109, 0.1049]"
509,"podcast, insuperaveis, notificado, organica, bolsonaronointeligencia, mostrarmos, colocarmos, hashtag, sexual, usando","[0.0484, 0.0477, 0.0417, 0.041, 0.0399, 0.0375, 0.0355, 0.0334, 0.0305, 0.0298]"
510,"relatorio, codigofonte, harmonia, defesa, investigacao, pivete, categoriamente, violavel, codigos, tecnicos","[0.0247, 0.0195, 0.0169, 0.0133, 0.0128, 0.0127, 0.0112, 0.0108, 0.0108, 0.0107]"
511,"desligados, anatel, coordenada, notificacao, apurar, servidores, extra, passada, 2200, internet","[0.0979, 0.0967, 0.0908, 0.0789, 0.0763, 0.0675, 0.0626, 0.0606, 0.0581, 0.0561]"
512,"diacono, 130227000000, 24900000000, equivalem, vaticano, exoneracao, gravacao, administrativo, criminosas, assedio","[0.0663, 0.0621, 0.0621, 0.0602, 0.0529, 0.0524, 0.044, 0.043, 0.0422, 0.0397]"
513,"daniel, daniela, dani, managing, tool, groups, professional, welcome, danny, telegram","[0.0772, 0.0674, 0.0554, 0.0388, 0.0388, 0.0387, 0.0387, 0.0383, 0.0257, 0.0249]"
514,"55, gilson, 984256473, 992323297, soldador, ton, reginaldo, master, 83, remove","[0.1139, 0.0191, 0.0168, 0.0168, 0.0168, 0.0164, 0.0161, 0.016, 0.0151, 0.015]"
515,"trabalhamos, cooperatorio, ourosa, falsificadores, ousar, binaria, bold, falemos, perseguindo, criptografia","[0.0902, 0.0552, 0.0537, 0.0533, 0.0532, 0.0528, 0.049, 0.0476, 0.0453, 0.0395]"
516,"semana, tensa, avisaremos, reprise, tranquilidade, preparados, recomendo, durar, dias, adiada","[0.0631, 0.0364, 0.0269, 0.0251, 0.0229, 0.0219, 0.0203, 0.0198, 0.0197, 0.0179]"
517,"interessado, 60310000, clique, olheiro, comprovantes, tomar, ganhar, dinheiro, trafego, acao","[0.3118, 0.2607, 0.1248, 0.0734, 0.0507, 0.0443, 0.0408, 0.0405, 0.0384, 0.0384]"
518,"covardes, generalecos, covardia, covarde, preferida, poupar, pulicial, preguicosos, fdp, pulicia","[0.0962, 0.076, 0.0752, 0.073, 0.0268, 0.0253, 0.0235, 0.023, 0.0219, 0.0214]"
519,"suspende, saltitante, viralizando, 0000h, 164, rapaziada, antecipacao, acusando, filiacao, propaganda","[0.0532, 0.0316, 0.0289, 0.0278, 0.0265, 0.0264, 0.0249, 0.0238, 0.0231, 0.022]"
520,"pill, red, conhecereis, libertara, 832, inscreva, joao, verdade, compartilhe, blue","[0.0987, 0.089, 0.0745, 0.074, 0.0739, 0.0448, 0.0395, 0.0341, 0.0311, 0.027]"
521,"android, twitter, via, iphone, oiluiz, 28102022, web, ver, 12102022, joaquin","[0.087, 0.0732, 0.0695, 0.0522, 0.05, 0.0318, 0.0314, 0.028, 0.0272, 0.0259]"
522,"esquerdistas, esquerdista, lida, radical, freis, leia, franciscanos, xxi, ceasas, oligofrenicosou","[0.0856, 0.0673, 0.0611, 0.0191, 0.0187, 0.0152, 0.0152, 0.0136, 0.0126, 0.0126]"
523,"ronda, jornaldacidadeonline, massacrar, oportunas, fantastica, pavimentado, tom, sereno, equilibrado, invasoes","[0.0565, 0.0535, 0.0474, 0.0453, 0.044, 0.0432, 0.041, 0.0356, 0.0348, 0.0328]"
524,"estapafurdias, equilibrar, censura, reclamam, propagam, masp, balanca, eleitoral, irremediavelmente, promovida","[0.0447, 0.0384, 0.0338, 0.0336, 0.0324, 0.031, 0.0235, 0.0215, 0.0194, 0.0183]"
525,"exchefe, servidora, casada, radios, investigar, gabinete, apontamento, denunciantes, nega, denunciada","[0.0865, 0.0863, 0.0806, 0.0747, 0.0712, 0.067, 0.0649, 0.0596, 0.0528, 0.0527]"
526,"contatar, alienacao, instrucoes, dono, diga, admin, duvida, siga, vindoa, qualquer","[0.2285, 0.208, 0.1494, 0.1234, 0.1111, 0.1021, 0.0695, 0.0524, 0.0357, 0.0283]"
527,"paralisia, mirar, separa, resumem, indevidamente, aproveitando, medos, resolvem, prestou, futebol","[0.047, 0.0441, 0.04, 0.0382, 0.0374, 0.0367, 0.0357, 0.0334, 0.0333, 0.0332]"
528,"651, ltda, inteligencia, podcast, 1830, jair, assista, hs, visualizcoes, comeca","[0.3097, 0.2282, 0.1311, 0.1274, 0.0533, 0.0468, 0.0314, 0.0278, 0.0254, 0.0178]"
529,"marketingdigitalparavencer, bolsonaroate2026, bolsonaro2022, bolsonaroday, bolsonaroestamoscontigo, bolsonaroestavacerto, bolsonaromerepresenta, bolsonaronossopresidente, riodejaneiro, bolsonarocadavezmaisforte","[0.0491, 0.047, 0.0442, 0.0303, 0.0302, 0.0302, 0.0302, 0.0302, 0.0302, 0.0302]"
530,"carlos, giacomini, juarez, photo, foto, sampaio, gilberto, antonio, ob, renatoribeiroh","[0.1989, 0.1416, 0.1352, 0.1048, 0.1022, 0.0925, 0.0898, 0.0895, 0.0808, 0.0607]"
531,"supere, residuos, aumente, medos, pagas, reciclagem, recompensa, confiando, preste, despesas","[0.0404, 0.0348, 0.0297, 0.0295, 0.0288, 0.0285, 0.0271, 0.027, 0.0263, 0.0255]"
532,"reais, ganha, invadido, clouthub, mst, linkadas, linkado, dmme, respostas, 21000","[0.096, 0.0939, 0.0938, 0.0522, 0.0501, 0.0427, 0.0427, 0.0404, 0.0356, 0.0343]"
533,"pag, item, 160, enviou, eleitorores, concentramos, convocamos, abertamente, ndeg, enviada","[0.0653, 0.0565, 0.0494, 0.0263, 0.0238, 0.0235, 0.0221, 0.022, 0.0196, 0.0188]"
534,"ramones, gm, tonysilva, video, reipcj, lizete, louise, gv, vitor, ","[1.6201, 0.3247, 0.1013, 0.0986, 0.0551, 0.0551, 0.0435, 0.0425, 0.0335, 0.0]"
535,"monitor, aux, combustiveis, monitordomercado, ibov, broadcast, reducao, paixao, imposto, yahoo","[0.0109, 0.0086, 0.0086, 0.007, 0.0067, 0.0065, 0.0063, 0.006, 0.0059, 0.0059]"
536,"entrevista, pilhado, 91022, presidencia, assista, apoiamos, figueiredo, entrevistou, jair, acompanhe","[0.0789, 0.0445, 0.0277, 0.0249, 0.0248, 0.0218, 0.0209, 0.0207, 0.02, 0.0187]"
537,"votou, video, hidrogenio, julio, bolsonaroque, peder, favoritos, repasse, papeis, falcatrua","[0.0346, 0.0205, 0.0192, 0.0187, 0.0176, 0.017, 0.0143, 0.0141, 0.0139, 0.0134]"
538,"gazetadopovo, jornal, gazeta, gazetadigital, jornaldosudoeste, post, gazetabrasil, gazetadasemana, irretocavel, mandou","[0.1552, 0.0933, 0.0736, 0.0417, 0.0417, 0.037, 0.0351, 0.035, 0.0326, 0.0325]"
539,"wiki, serpente, rastreadores, rastro, 4nt1n0m, debates, carter, kevin, tamtam, fotojornalista","[0.2508, 0.2467, 0.1666, 0.159, 0.1168, 0.1024, 0.0297, 0.0246, 0.0239, 0.0203]"
540,"joga, menina, 10min10, spoiler, 11min, estuprou, banca, antecedencia, joguem, vesperas","[0.0761, 0.072, 0.059, 0.0582, 0.0581, 0.0577, 0.0539, 0.0538, 0.0502, 0.0447]"
541,"nicaragua, persegue, ditador, ortega, calorosos, cumprimentos, envia, companheiro, padres, torturados","[0.0721, 0.0541, 0.0503, 0.049, 0.0331, 0.0323, 0.0309, 0.0272, 0.0252, 0.0236]"
542,"gosto, respondi, investido, perguntou, goste, gostar, emitir, escolashospitaisetc, doutrinacao, saneamento","[0.2751, 0.0785, 0.057, 0.0517, 0.0371, 0.0369, 0.0365, 0.0331, 0.0291, 0.026]"
543,"eliete, pastora, bispos, igreja, cal, pastor, congregacao, genoino, instrucao, padres","[0.0431, 0.04, 0.0356, 0.0354, 0.0337, 0.0295, 0.029, 0.0213, 0.0212, 0.0192]"
544,"piracicaba, limeira, afonso, kicis, exprocuradora, realizasse, bia, prf, rico, motivando","[0.0485, 0.0383, 0.0342, 0.033, 0.031, 0.0284, 0.0269, 0.0263, 0.0251, 0.025]"
545,"concorda, sim, voceentre, militando, endireita, coseguir, casacontamos, aguadoce, sutento, userdamasio2","[0.0641, 0.0273, 0.0204, 0.0198, 0.0193, 0.015, 0.015, 0.015, 0.015, 0.015]"
546,"seriedade, tambores, cornetas, sentados, festa, pareca, fiquemos, fogos, ruptura, soltar","[0.0817, 0.0612, 0.0602, 0.0596, 0.059, 0.0553, 0.0523, 0.0503, 0.0482, 0.0381]"
547,"necrofilia, xenofobo, homofobico, faltou, sexo, abertamente, record, mortos, satanista, entrevista","[0.2636, 0.2636, 0.2192, 0.1702, 0.1499, 0.125, 0.1057, 0.1055, 0.1006, 0.0683]"
548,"diadema, nicolas, barros, 25, conectese, feedback, ativar, bot, comigo, comecar","[0.2356, 0.1662, 0.1148, 0.0748, 0.0367, 0.035, 0.0332, 0.0301, 0.0267, 0.0215]"
549,"atentos, assistam, flnal, vlrada, assista, excelentes, assistiu, val, confere, assistaaaaammmmmmmmmmm","[0.1254, 0.1248, 0.0928, 0.0928, 0.0915, 0.0648, 0.0576, 0.0542, 0.051, 0.0505]"
550,"ruralista, excedentes, escrivaes, 2909, michel, extra, 560, nomeacao, decide, aprovados","[0.0777, 0.0537, 0.0512, 0.0483, 0.0455, 0.045, 0.0444, 0.0431, 0.0429, 0.0424]"
551,"cachorro, cachorros, comer, dog, comendo, pets, fighting, fights, domesticos, animais","[0.1427, 0.062, 0.0588, 0.0378, 0.0313, 0.0295, 0.026, 0.0248, 0.0234, 0.0216]"
552,"esquerdaoposicao, 1250, eurostoxx50, ftse, dax, cac, youtubecomalexeconomia, ifood, oposicao, elege","[0.0673, 0.0671, 0.0666, 0.0664, 0.0664, 0.0618, 0.0459, 0.0425, 0.0382, 0.038]"
553,"destinacao, restabeleca, lixoes, ameacou, veiculacao, recusou, biofertilizantes, 809, biogas, apresente","[0.0745, 0.0734, 0.062, 0.0548, 0.0534, 0.0492, 0.0446, 0.0446, 0.0446, 0.0438]"
554,"news, desmentem, fake, alfabetizacao, desfazendo, bresilienne, ignoradas, municipios, mec, variar","[0.0214, 0.021, 0.0199, 0.019, 0.0153, 0.015, 0.0143, 0.0139, 0.013, 0.0128]"
555,"leonardo, murilo, nathan, osasco, marinho, tocantins, alagoas, 37, conectese, ativar","[0.1127, 0.112, 0.0966, 0.0847, 0.0729, 0.0452, 0.0444, 0.0439, 0.038, 0.0339]"
556,"paying, pagamento, plataforma, platform, pague, realmente, pays, parabens, bezahlen, die","[0.0278, 0.0276, 0.0274, 0.0232, 0.0202, 0.0179, 0.0147, 0.0144, 0.0142, 0.0141]"
557,"tarefas, pedro, edegar, cometeu, 2677, 2681, faltantes, liveo, falha, brancos","[0.0687, 0.0686, 0.0671, 0.0671, 0.0657, 0.0616, 0.0616, 0.0589, 0.0543, 0.0421]"
558,"11984859213, 01416155830, trufas, poblema, egora, tel, morei, sandra, conceicao, senti","[0.1049, 0.0613, 0.0602, 0.0599, 0.0523, 0.0504, 0.0462, 0.0452, 0.0429, 0.0428]"
559,"gettr, globoplay, globolixo, aaaaaamo, gayer, gustavo, explica, please, simples, share","[0.7575, 0.2703, 0.0894, 0.0574, 0.0463, 0.0304, 0.021, 0.0201, 0.0187, 0.0176]"
560,"ubanda, afastar, morcegos, alcancando, rotulado, querendo, simone, obrigafos, sentata, maradores","[0.0448, 0.0227, 0.0163, 0.0143, 0.0136, 0.0125, 0.0123, 0.0121, 0.0121, 0.0121]"
561,"pior, piorar, pesadodemais, enfileirados, pouquissimos, ruim, paredao, piores, economizar, optase","[0.1301, 0.057, 0.0304, 0.0268, 0.0226, 0.0205, 0.0188, 0.0179, 0.0173, 0.0166]"
562,"crypto, meta, withdrawal, trading, successful, company, congratulations, group, your, on","[0.1108, 0.0932, 0.0825, 0.0792, 0.0621, 0.0432, 0.034, 0.0317, 0.0301, 0.0252]"
563,"desconto, 1762435, aluno, deixado, adquirir, ferias, efetuar, vaga, aproveitar, saque","[0.1236, 0.0961, 0.0876, 0.077, 0.0762, 0.0732, 0.07, 0.0646, 0.0638, 0.0626]"
564,"www1, ludmila, exonerado, ambito, boldo, recebimento, maluf, confirmando, comunicado, radiolao","[0.3092, 0.19, 0.1472, 0.1203, 0.1164, 0.1114, 0.1083, 0.0905, 0.0881, 0.0858]"
565,"15112022, 13112022, 12112022, chamada, concentracoes, proclamacao, espalha, manifestando, terca, convocacao","[0.1503, 0.0889, 0.0878, 0.0752, 0.075, 0.0722, 0.0602, 0.0583, 0.0543, 0.0514]"
566,"floradv, aleatoria, ditos, descricao, banir, postagens, direita, foto, nesse, momento","[0.4988, 0.305, 0.291, 0.2429, 0.2132, 0.1357, 0.0649, 0.0523, 0.0501, 0.0404]"
567,"marcus, gerente, ganhos, recebi, administrador, obrigado, cedo, gracas, incentivo, manha","[0.1645, 0.1147, 0.0954, 0.0838, 0.0669, 0.0658, 0.04, 0.0389, 0.0364, 0.0294]"
568,"pense, citacao, trapaceando, oramos, sorrir, serias, trabalhamos, fundacao, acreditamos, assinantes","[0.0652, 0.0607, 0.0602, 0.0595, 0.051, 0.0497, 0.0468, 0.0465, 0.0465, 0.046]"
569,"permitido, advertencia, enviou, acao, mensagem, maior, 29102022, 1480836059, 5579105993, 5708168713","[0.2461, 0.2357, 0.2051, 0.0782, 0.0568, 0.0425, 0.0408, 0.0374, 0.0374, 0.0363]"
570,"portugues, portugal, portuguesa, vii, disculpen, clases, portunol, portuguesfica, deneuve, jajaj","[0.1676, 0.1186, 0.0343, 0.0339, 0.0258, 0.0258, 0.0258, 0.0258, 0.0258, 0.0258]"
571,"angel, vania, angela, foto, photo, angelo, azezel, angelaferreia, vanio, lobao","[1.0252, 0.415, 0.2341, 0.1115, 0.0776, 0.0524, 0.0518, 0.0451, 0.0451, 0.0366]"
572,"truss, liz, primeiraministra, johnson, renuncia, boris, unido, primeiroministro, sunak, britanica","[0.102, 0.0903, 0.0541, 0.0539, 0.0432, 0.0423, 0.0387, 0.0375, 0.0347, 0.0339]"
573,"inflacao, contramao, crescimento, menor, economica, economias, espetacular, fmi, surpreenderia, deflacao","[0.0556, 0.0275, 0.0241, 0.021, 0.02, 0.0196, 0.0176, 0.015, 0.0145, 0.0139]"
574,"clique, canal, clic, otima, acessar, pergunta, faz, , , ","[0.429, 0.0948, 0.0207, 0.0173, 0.016, 0.0114, 0.0037, 0.0, 0.0, 0.0]"
575,"forms, julho, 170332, 389, 453, captou, colhidos, dispensa, 421, faturamento","[0.0899, 0.0537, 0.0525, 0.0493, 0.049, 0.049, 0.0487, 0.0476, 0.0453, 0.044]"
576,"enquete, participem, competindo, scriptsamp, alteracoes, transparente, atualizada, aberta, compartilhem, possam","[0.2413, 0.1832, 0.1212, 0.1191, 0.1073, 0.1014, 0.0959, 0.0872, 0.0641, 0.0641]"
577,"pcc, cpx, cv, complexo, lulaamor, sigat, significa, huck, luladrao, favela","[0.154, 0.1427, 0.1401, 0.0668, 0.0366, 0.0362, 0.0289, 0.0286, 0.0244, 0.0234]"
